normalized_name,clean,staff_evidence,marker,initial_label,label_artifact,n_transcripts,subst_appearances,total_guest_words,first_date,last_date,span_days,n_dates,n_programs,npr_share,wiki_status,generic_name_flag,honorifics,example_transcript_ids
Michael Mcfaul,True,no,,False,False,54,9,7490,2004-11-23,2019-10-05,5429.0,29,24,0.25925925925925924,long-tail,0,AMB;AMBASSADOR;MR;PROFESSOR,NPR-7092;NPR-8269;NPR-11991;NPR-16023;NPR-16332
De Mistura,True,no,,False,False,17,7,5782,2015-03-05,2019-11-05,1706.0,16,4,0.0,long-tail,0,,CNN-134544;CNN-250621;CNN-264036;CNN-267926;CNN-268014
Billie Dunn,True,no,,False,False,14,6,4922,2012-11-16,2012-11-16,0.0,1,1,0.0,long-tail,0,,CNN-160355;CNN-160395;CNN-160471;CNN-160626;CNN-160705
John Ulzheimer,True,no,,False,False,44,3,4628,2009-07-16,2013-12-28,1626.0,8,6,0.06818181818181818,long-tail,0,MR,NPR-35115;NPR-35692;NPR-36608;CNN-86122;CNN-124442
Michael Dimock,True,no,,False,False,11,7,4396,2012-05-10,2015-09-08,1216.0,11,3,1.0,long-tail,0,,NPR-9774;NPR-24054;NPR-26986;NPR-27055;NPR-27165
Dal Col,True,no,,False,False,9,7,3888,2000-12-15,2000-12-15,0.0,1,6,0.0,long-tail,0,,CNN-1207;CNN-1251;CNN-1338;CNN-2758;CNN-3856
Doyle Mcmanus,True,no,,False,False,20,3,3776,2000-10-14,2019-09-30,6925.0,8,13,0.15,long-tail,0,MR,NPR-10759;NPR-28633;NPR-48881;CNN-1291;CNN-3674
Amy Myers Jaffe,True,no,,False,False,15,3,3278,2005-09-13,2019-09-16,5116.0,11,9,0.7333333333333333,long-tail,0,MS,NPR-661;NPR-823;NPR-871;NPR-2778;NPR-8518
Karen Fleming-Ginn,True,no,,False,False,3,3,2783,2010-08-19,2015-02-28,1654.0,3,2,1.0,long-tail,0,MS,NPR-5213;NPR-8347;NPR-25003
Noam Levey,True,no,,False,False,6,5,2637,2012-01-01,2019-07-09,2746.0,6,3,1.0,long-tail,0,,NPR-7719;NPR-9944;NPR-11430;NPR-46558;NPR-48256
Stacy Palmer,True,no,,False,False,12,3,2625,2005-09-23,2015-12-06,3726.0,6,8,0.5,long-tail,0,MS,NPR-15374;NPR-23449;NPR-40391;NPR-42613;NPR-45846
Rich Jaroslovsky,True,no,,False,False,5,5,2524,2012-05-29,2013-11-04,524.0,5,1,1.0,long-tail,0,,NPR-24870;NPR-26988;NPR-27159;NPR-27762;NPR-27916
Michele Dunne,True,no,,False,False,12,4,2185,2011-02-15,2019-04-10,2976.0,9,3,0.6666666666666666,long-tail,0,,NPR-11066;NPR-16183;NPR-26727;NPR-31264;NPR-33096
Alan Schroeder,True,no,,False,False,13,3,2174,2004-10-13,2016-09-26,4366.0,10,6,0.38461538461538464,long-tail,0,MR;PROF;PROFESSOR,NPR-783;NPR-5948;NPR-12798;NPR-30709;NPR-39844
De Kerchove,True,no,,False,False,3,3,2076,2015-01-13,2015-11-20,311.0,2,2,0.0,long-tail,0,,CNN-218054;CNN-247020;CNN-269510
Bob Meadows,True,no,,False,False,36,33,18567,2005-05-12,2015-07-10,3711.0,35,3,0.9722222222222222,long-tail(v1),0,MR,NPR-1896;NPR-2134;NPR-2162;NPR-2282;NPR-2473
Van Tulleken,True,no,,False,False,43,15,14729,2014-09-10,2015-11-10,426.0,43,12,0.0,long-tail(v1),0,,CNN-238572;CNN-239020;CNN-240086;CNN-240160;CNN-240169
Andrew Tabler,True,no,,False,False,83,11,14371,2012-02-16,2018-09-04,2392.0,45,22,0.1686746987951807,long-tail(v1),0,,NPR-6779;NPR-8483;NPR-8775;NPR-9505;NPR-10809
George Joffe,True,no,,False,False,9,8,13774,2011-03-01,2013-02-04,706.0,9,2,1.0,long-tail(v1),0,DR;MR,NPR-1487;NPR-1527;NPR-2164;NPR-2590;NPR-2667
Marcelo Suarez-Orozco,True,no,,False,False,38,25,12928,2005-07-11,2007-12-18,890.0,38,2,0.9736842105263158,long-tail(v1),0,DR;MR;PROF;PROFESSOR,NPR-1888;NPR-2009;NPR-2079;NPR-2212;NPR-2499
Anna Greenberg,True,no,,False,False,25,8,11747,2000-10-21,2019-08-30,6887.0,15,12,0.48,long-tail(v1),0,MS,NPR-772;NPR-840;NPR-3828;NPR-4401;NPR-8117
Hirschfeld Davis,True,no,,False,False,52,3,11721,2017-04-25,2020-04-14,1085.0,52,8,0.0,long-tail(v1),0,,CNN-310834;CNN-311120;CNN-316550;CNN-318459;CNN-318460
Van Der Sloot,True,no,,False,False,70,9,10642,2007-11-21,2016-03-23,3045.0,13,11,0.0,long-tail(v1),0,,CNN-95257;CNN-95400;CNN-95583;CNN-95594;CNN-95597
Mary Kate Cary,True,no,,False,False,35,15,10100,2010-10-26,2020-02-01,3385.0,34,12,0.45714285714285713,long-tail(v1),0,MS,NPR-550;NPR-2049;NPR-3715;NPR-6953;NPR-7296
Emira Woods,True,no,,False,False,17,10,9304,2005-05-17,2008-12-13,1306.0,12,4,0.6470588235294118,long-tail(v1),0,MS,NPR-310;NPR-475;NPR-2733;NPR-4101;NPR-9707
Lourdes Garcia,True,no,,False,False,27,14,8835,2006-01-19,2011-10-03,2083.0,27,4,1.0,long-tail(v1),0,,NPR-5637;NPR-13498;NPR-13831;NPR-28750;NPR-28808
Charles Ogletree,True,no,,False,False,30,8,8725,2005-05-10,2015-03-04,3585.0,12,16,0.3,unchecked,0,MR;PROF;PROFESSOR,NPR-1852;NPR-4315;NPR-12304;NPR-46235;NPR-46838
Maya Macguineas,True,no,,False,False,52,3,8705,2009-06-10,2020-02-10,3897.0,35,16,0.17307692307692307,unchecked,0,MS,NPR-2244;NPR-2775;NPR-6908;NPR-17667;NPR-18724
Rovenia Brock,True,no,,False,False,15,10,8649,2005-06-09,2013-01-10,2772.0,15,3,0.8666666666666667,unchecked,0,DR;MS,NPR-38;NPR-1530;NPR-2192;NPR-2265;NPR-3094
St. George,True,no,,False,False,35,10,8546,2002-10-17,2016-05-13,4957.0,9,5,0.0,unchecked,0,,CNN-50012;CNN-50090;CNN-51111;CNN-52926;CNN-58084
Dalai Lama,True,no,,False,False,56,6,8545,2001-12-13,2019-04-01,6318.0,14,28,0.0,unchecked,0,,CNN-8546;CNN-10773;CNN-11161;CNN-14845;CNN-24521
Van Kerkhove,True,no,,False,False,10,6,8497,2020-03-06,2020-10-15,223.0,10,4,0.0,unchecked,0,DR,CNN-394551;CNN-395031;CNN-396582;CNN-398263;CNN-400074
Douglas Holtz-Eakin,True,no,,False,False,77,5,8494,2005-10-11,2020-05-08,5323.0,44,22,0.15584415584415584,unchecked,0,MR,NPR-14033;NPR-14270;NPR-16943;NPR-18432;NPR-21697
John Prendergast,True,no,,False,False,43,7,8493,2005-07-16,2019-09-23,5182.0,21,18,0.20930232558139536,unchecked,0,MR,NPR-1627;NPR-4475;NPR-5099;NPR-8116;NPR-13718
Dick Armey,True,no,,False,False,99,3,8464,2000-12-14,2015-04-13,5233.0,23,50,0.04040404040404041,unchecked,0,MR;REP;REPRESENTATIVE;SENATOR,NPR-5427;NPR-17252;NPR-36143;NPR-45972;CNN-283
Robert Ballard,True,no,,False,False,13,3,8447,2000-11-13,2013-12-22,4787.0,5,9,0.23076923076923078,unchecked,0,,NPR-3169;NPR-8967;NPR-9757;CNN-7096;CNN-8856
William Rhoden,True,no,,False,False,12,11,8427,2005-06-10,2015-01-27,3518.0,12,2,0.9166666666666666,unchecked,0,MR,NPR-461;NPR-849;NPR-1062;NPR-2397;NPR-2555
Dawn Turner Trice,True,no,,False,False,11,8,8418,2005-05-27,2009-12-08,1656.0,8,4,0.7272727272727273,unchecked,0,MS,NPR-46211;NPR-46366;NPR-46603;NPR-46652;NPR-47844
Shadi Hamid,True,no,,False,False,37,6,8370,2011-02-07,2017-06-27,2332.0,31,12,0.40540540540540543,unchecked,0,DR;MR,NPR-2756;NPR-2897;NPR-14696;NPR-18308;NPR-25567
Di Maio,True,no,,False,False,16,5,8281,2016-10-04,2020-03-12,1255.0,3,8,0.0,unchecked,0,,CNN-210216;CNN-210225;CNN-210226;CNN-210227;CNN-210232
Paul Butler,True,no,,False,False,56,12,8230,2002-10-29,2019-04-06,6003.0,37,21,0.2857142857142857,unchecked,1,DR;MR;PROF;PROFESSOR,NPR-1394;NPR-1855;NPR-11096;NPR-14561;NPR-15792
Ivan Walks,True,no,,False,False,49,4,8194,2001-10-20,2020-04-28,6765.0,45,15,0.08163265306122448,unchecked,0,DR,NPR-2468;NPR-5661;NPR-44952;NPR-47981;CNN-42099
Jennifer Rubin,True,no,,False,False,41,6,8193,2011-08-05,2019-08-25,2942.0,31,10,0.1951219512195122,unchecked,0,,NPR-432;NPR-9067;NPR-14283;NPR-17188;NPR-19054
Jackson Diehl,True,no,,False,False,5,5,8109,2011-07-18,2013-04-01,623.0,5,1,1.0,unchecked,0,,NPR-165;NPR-1645;NPR-9117;NPR-12572;NPR-12907
Al Thani,True,no,,False,False,17,8,8078,2014-06-18,2020-03-01,2083.0,16,7,0.0,unchecked,0,,CNN-40959;CNN-232835;CNN-239639;CNN-245914;CNN-313875
Carl Zimmer,True,no,,False,False,7,5,8071,2011-05-06,2020-07-29,3372.0,6,3,0.7142857142857143,unchecked,0,MR,NPR-233;NPR-2020;NPR-8351;NPR-9358;NPR-10508
Trump Jr,True,no,,False,False,95,4,8001,2016-04-24,2020-08-25,1584.0,95,17,0.0,unchecked,0,,CNN-282323;CNN-287112;CNN-289315;CNN-289330;CNN-289602
Julia Sweig,True,no,,False,False,20,4,7988,2007-03-08,2018-04-22,4063.0,12,11,0.5,unchecked,0,DR;MS,NPR-4365;NPR-4966;NPR-9367;NPR-13166;NPR-14279
Samer Shehata,True,no,,False,False,28,9,7881,2010-12-14,2019-06-18,3108.0,12,17,0.39285714285714285,unchecked,0,MR;PROF;PROFESSOR,NPR-2929;NPR-10775;NPR-12184;NPR-28816;NPR-30384
De Vries,True,no,,False,False,32,5,7867,2004-11-25,2017-04-23,4532.0,28,10,0.0,unchecked,0,,CNN-90043;CNN-115277;CNN-115295;CNN-123505;CNN-123541
Heinz Kerry,True,no,,False,False,30,7,7861,2004-10-30,2004-10-30,0.0,1,13,0.0,unchecked,0,,CNN-82522;CNN-86061;CNN-86072;CNN-86107;CNN-86117
Karen Greenberg,True,no,,False,False,44,3,7782,2009-11-12,2020-01-11,3712.0,34,15,0.1590909090909091,unchecked,0,MS;PROFESSOR,NPR-2250;NPR-9502;NPR-26181;NPR-29579;NPR-35451
Meghan Daum,True,no,,False,False,5,5,7634,2007-03-08,2011-02-03,1428.0,5,1,1.0,unchecked,0,MS,NPR-2921;NPR-16435;NPR-44805;NPR-44946;NPR-46222
Bassir Pour,True,no,,False,False,23,15,7558,2004-12-31,2004-12-31,0.0,1,3,0.0,unchecked,0,,CNN-3812;CNN-5214;CNN-6039;CNN-6487;CNN-6671
Alan Simpson,True,no,,False,False,68,5,7513,2000-11-17,2018-12-06,6593.0,32,30,0.11764705882352941,unchecked,0,MR;SEN,NPR-16792;NPR-29046;NPR-30075;NPR-30495;NPR-35987
Steven Levy,True,no,,False,False,18,3,7502,2000-12-21,2020-10-24,7247.0,10,10,0.16666666666666666,unchecked,0,MR,NPR-1332;NPR-4952;NPR-27996;CNN-22139;CNN-125549
Kearns Goodwin,True,no,,False,False,8,7,7492,2015-09-16,2020-03-21,1648.0,7,4,0.0,unchecked,0,,CNN-163947;CNN-264697;CNN-296959;CNN-297208;CNN-354058
Jim Bakker,True,no,,False,False,15,5,7474,2005-12-10,2006-12-15,370.0,4,7,0.0,unchecked,0,,CNN-2310;CNN-9025;CNN-17177;CNN-24658;CNN-33247
Gary Anderson,True,no,,False,False,16,7,7469,2005-12-07,2013-05-13,2714.0,8,12,0.5,unchecked,1,COL;COLONEL;MR;REV,NPR-611;NPR-3678;NPR-4533;NPR-7004;NPR-8758
