canonical_id,canonical_name,clean,qualifies,wiki_status,subst_dedup,subst_appearances_raw,n_appearances,n_dedup_clusters,appearances_collapsed,same_day_multi_program,span_days_dedup,n_dates_dedup,first_date,last_date,total_guest_words,n_programs,npr_share,n_variants,variants,merge_rules,merge_evidence,staff_evidence,staff_marker,summary_staff,summary_evidence,closest_wikipedia_title,wiki_similarity,n_affiliations,affiliations,initial_label,label_artifact,ambiguous_identity,particle_surname,generic_name_flag,over_top500_head,top_raw_label,note,transcripts
C00344,Bob Meadows,True,True,long-tail,33,33,36,36,0,0,691,33,2005-05-12,2007-04-03,18567,3,0.9722,1,Bob Meadows,,,no,,no,,Audrey Meadows,0.64,4,WRITER PEOPLE MAGAZINE / PEOPLE MAGAZINE / STAFF WRITER PEOPLE MAGAZINE / WRITE PEOPLE MAGAZINE,False,False,False,False,False,False,"Mr. BOB MEADOWS (Writer, People Magazine)","clean: no staff evidence, full name, no duplicate inflation",CNN-27211|2001-03-15|Burden of Proof|cl1|-;NPR-48138|2005-05-12|News & Notes|cl32|S;NPR-47919|2005-05-27|News & Notes|cl31|S;NPR-47542|2005-07-12|News & Notes|cl30|S;NPR-47305|2005-08-04|News & Notes|cl29|S;NPR-47234|2005-08-12|News & Notes|cl28|S;NPR-47071|2005-08-30|News & Notes|cl26|S;NPR-46618|2005-10-07|News & Notes|cl25|S;NPR-46449|2005-11-22|News & Notes|cl24|S;NPR-5438|2006-01-19|News & Notes|cl35|S;NPR-45771|2006-02-07|News & Notes|cl23|-;NPR-45680|2006-02-15|News & Notes|cl22|S;NPR-45456|2006-03-02|News & Notes|cl21|S;NPR-45182|2006-03-24|News & Notes|cl20|S;NPR-44978|2006-04-06|News & Notes|cl19|S;NPR-44556|2006-05-15|News & Notes|cl17|S;NPR-4833|2006-06-29|News & Notes|cl33|S;NPR-4710|2006-07-11|News & Notes|cl27|S;NPR-4479|2006-07-27|News & Notes|cl18|S;NPR-4207|2006-08-17|News & Notes|cl16|S;NPR-4182|2006-08-24|News & Notes|cl15|S;NPR-3925|2006-09-19|News & Notes|cl14|S;NPR-7405|2006-09-21|News & Notes|cl36|S;NPR-3655|2006-10-03|News & Notes|cl13|S;NPR-3648|2006-10-10|News & Notes|cl12|S;NPR-3417|2006-11-01|News & Notes|cl11|S;NPR-3162|2006-11-16|News & Notes|cl10|S;NPR-5314|2006-11-20|News & Notes|cl34|S;NPR-2930|2006-12-15|News & Notes|cl9|S;NPR-2625|2007-01-11|News & Notes|cl8|S;NPR-2473|2007-01-30|News & Notes|cl7|S;NPR-2282|2007-02-20|News & Notes|cl6|S;NPR-2162|2007-02-28|News & Notes|cl5|S;NPR-2134|2007-03-06|News & Notes|cl3|S;NPR-1896|2007-04-03|News & Notes|cl2|S;NPR-21565|2015-07-10|Morning Edition|cl4|-
C02482,Van Tulleken,True,True,long-tail,15,15,43,43,0,29,426,13,2014-09-10,2015-11-10,14729,12,0.0,1,Van Tulleken,,,no,,no,,Xand van Tulleken,0.828,0,,False,False,False,True,False,False,VAN TULLEKEN,"CHECK particle+surname label (effectively a surname); CNN-dominated (thinner turns, more re-airing)",CNN-238572|2014-09-10|NEW DAY|cl1|S;CNN-239020|2014-09-16|THE LEAD WITH JAKE TAPPER|cl2|-;CNN-240086|2014-10-01|NEW DAY|cl3|-;CNN-240160|2014-10-02|LEGAL VIEW WITH ASHLEIGH BANFIELD|cl4|-;CNN-240169|2014-10-02|NEW DAY|cl5|-;CNN-240189|2014-10-02|WOLF|cl6|-;CNN-240448|2014-10-07|CNN NEWSROOM|cl7|S;CNN-240514|2014-10-07|THE LEAD WITH JAKE TAPPER|cl8|-;CNN-240527|2014-10-07|WOLF|cl9|-;CNN-240565|2014-10-08|ERIN BURNETT OUTFRONT|cl10|S;CNN-240579|2014-10-08|NEW DAY|cl11|-;CNN-240658|2014-10-09|LEGAL VIEW WITH ASHLEIGH BANFIELD|cl12|S;CNN-240988|2014-10-14|ERIN BURNETT OUTFRONT|cl13|-;CNN-241017|2014-10-14|THE LEAD WITH JAKE TAPPER|cl14|-;CNN-241038|2014-10-15|CNN NEWSROOM|cl15|-;CNN-241043|2014-10-15|CNN NEWSROOM|cl16|-;CNN-241044|2014-10-15|CNN NEWSROOM|cl17|-;CNN-241068|2014-10-15|LEGAL VIEW WITH ASHLEIGH BANFIELD|cl18|-;CNN-241073|2014-10-15|NEW DAY|cl19|-;CNN-241075|2014-10-15|NEW DAY|cl20|-;CNN-241076|2014-10-15|NEW DAY|cl21|S;CNN-241090|2014-10-15|THE SITUATION ROOM|cl22|-;CNN-241091|2014-10-15|THE SITUATION ROOM|cl23|-;CNN-241167|2014-10-16|THE SITUATION ROOM|cl24|-;CNN-241207|2014-10-17|LEGAL VIEW WITH ASHLEIGH BANFIELD|cl25|-;CNN-241208|2014-10-17|LEGAL VIEW WITH ASHLEIGH BANFIELD|cl26|-;CNN-241347|2014-10-20|CNN NEWSROOM|cl27|S;CNN-241584|2014-10-23|ANDERSON COOPER 360 DEGREES|cl28|S;CNN-241607|2014-10-23|CNN TONIGHT|cl29|-;CNN-241608|2014-10-23|CNN TONIGHT|cl30|-;CNN-241650|2014-10-23|THE SITUATION ROOM|cl31|S;CNN-241691|2014-10-24|LEGAL VIEW WITH ASHLEIGH BANFIELD|cl32|-;CNN-241694|2014-10-24|NEW DAY|cl33|-;CNN-241699|2014-10-24|NEW DAY|cl34|S;CNN-241712|2014-10-24|THE SITUATION ROOM|cl35|-;CNN-241730|2014-10-25|CNN NEWSROOM|cl36|-;CNN-241767|2014-10-25|SMERCONISH|cl37|S;CNN-241785|2014-10-26|CNN RELIABLE SOURCES|cl38|S;CNN-242983|2014-11-11|NEW DAY|cl39|S;CNN-243273|2014-11-14|THE SITUATION ROOM|cl40|-;CNN-247737|2015-01-23|CNN NEWSROOM|cl41|S;CNN-247750|2015-01-23|CNN NEWSROOM|cl42|S;CNN-268883|2015-11-10|IDESK|cl43|S
C01659,Mary Kate Cary,True,True,long-tail,15,15,35,35,0,17,3255,15,2010-10-26,2019-09-24,10100,12,0.4571,1,Mary Kate Cary,,,no,,review,"NPR's Michel Martin considers the implications of the Kavanaugh controversy for the midterms and beyond, with Republican commentator Mary Kate Cary and former Obama campaign strategist David Axelrod.",Mary Carey,0.75,10,CONTRIBUTING EDITOR US NEWS AND WORLD REPORT FORMER WHITE HOUSE SPEECHWRITER / FORMER GEORGE H W BUSH SPEECHWRITER / FORMER SPEECHWRITER FOR GEORGE H W BUSH / FORMER BUSH SPEECHWRITER,False,False,False,False,False,False,MARY KATE CARY,CHECK summaries use a role word (outside journalist or recurring pundit?),CNN-48212|2002-01-29|CNN INSIDE POLITICS|cl19|-;NPR-6953|2010-10-26|Talk of the Nation|cl34|S;NPR-30747|2012-10-03|All Things Considered|cl29|-;NPR-29670|2013-03-08|All Things Considered|cl28|S;NPR-26935|2014-06-27|All Things Considered|cl27|S;NPR-2049|2015-08-09|Weekend Edition Sunday|cl24|S;NPR-23066|2016-01-15|All Things Considered|cl26|S;NPR-21281|2016-07-30|All Things Considered|cl25|S;NPR-18535|2017-05-06|All Things Considered|cl23|S;NPR-16871|2017-07-29|All Things Considered|cl22|S;NPR-11365|2017-09-30|Weekend Edition Saturday|cl20|S;NPR-13762|2018-01-13|All Things Considered|cl21|S;NPR-47088|2018-04-21|All Things Considered|cl32|S;NPR-46269|2018-06-23|All Things Considered|cl31|S;NPR-3715|2018-09-30|All Things Considered|cl30|S;CNN-356136|2018-12-03|CNN NEWSROOM|cl1|-;CNN-356139|2018-12-03|CNN NEWSROOM|cl2|-;CNN-356152|2018-12-03|CNN NEWSROOM|cl3|-;CNN-356200|2018-12-03|THE SITUATION ROOM|cl4|-;CNN-356297|2018-12-05|CNN LIVE EVENT/SPECIAL|cl5|-;CNN-356306|2018-12-05|CNN NEWSROOM|cl6|-;CNN-356311|2018-12-05|CNN NEWSROOM|cl7|-;CNN-356318|2018-12-05|CNN RIGHT NOW|cl8|-;CNN-356364|2018-12-06|CNN LIVE EVENT/SPECIAL|cl9|-;CNN-356365|2018-12-06|CNN LIVE EVENT/SPECIAL|cl10|-;CNN-356366|2018-12-06|CNN LIVE EVENT/SPECIAL|cl11|-;CNN-356376|2018-12-06|CNN NEWSROOM|cl12|-;CNN-356383|2018-12-06|CNN NEWSROOM|cl13|-;CNN-356385|2018-12-06|CNN NEWSROOM|cl14|-;CNN-356394|2018-12-06|CNN RIGHT NOW|cl15|-;CNN-356437|2018-12-06|THE LEAD WITH JAKE TAPPER|cl16|-;CNN-356438|2018-12-06|THE SITUATION ROOM|cl17|-;NPR-550|2019-02-09|All Things Considered|cl33|S;NPR-7296|2019-09-24|Morning Edition|cl35|S;CNN-391670|2020-02-01|SMERCONISH|cl18|-
C00292,Bassir Pour,True,True,long-tail,13,15,23,19,4,8,1763,13,2000-03-04,2004-12-31,7558,3,0.0,1,Bassir Pour,,,no,,no,,Bernard Miyet,0.25,0,,False,False,False,False,False,False,BASSIR POUR,"4 re-airings collapsed; CNN-dominated (thinner turns, more re-airing)",CNN-3812|2000-03-04|CNN International Diplomatic Linense|cl3|S;CNN-5214|2000-03-25|CNN International Diplomatic Linense|cl5|S;CNN-6039|2000-04-08|CNN International Diplomatic Linense|cl10|S;CNN-6487|2000-04-15|CNN International Diplomatic Linense|cl11|S;CNN-6671|2000-04-22|CNN International Diplomatic Linense|cl12|S;CNN-7573|2000-05-06|CNN International Diplomatic Linense|cl13|-;CNN-8047|2000-05-13|CNN International Diplomatic Linense|cl14|S;CNN-8517|2000-05-20|CNN International Diplomatic Linense|cl16|-;CNN-9405|2000-06-03|CNN International Diplomatic Linense|cl18|-;CNN-9832|2000-06-10|CNN International Diplomatic Linense|cl19|S;CNN-11211|2000-07-02|CNN International Diplomatic Linense|cl1|-;CNN-21018|2000-12-02|CNN International Diplomatic Linense|cl2|S;CNN-51332|2002-03-23|CNN DIPLOMATIC LICENSE|cl4|S;CNN-52821|2002-04-20|CNN DIPLOMATIC LICENSE|cl6|-;CNN-52861|2002-04-20|DIPLOMATIC LICENSE|cl6|-;CNN-55552|2002-06-08|CNN DIPLOMATIC LICENSE|cl7|S;CNN-55594|2002-06-08|DIPLOMATIC LICENSE|cl7|S;CNN-56322|2002-06-22|CNN DIPLOMATIC LICENSE|cl8|S;CNN-56362|2002-06-22|DIPLOMATIC LICENSE|cl8|S;CNN-58189|2002-07-27|CNN DIPLOMATIC LICENSE|cl9|-;CNN-58226|2002-07-27|DIPLOMATIC LICENSE|cl9|-;CNN-85004|2004-05-28|DIPLOMATIC LICENSE|cl15|S;CNN-90998|2004-12-31|DIPLOMATIC LICENSE|cl17|S
C00812,Gayle Trotter,True,True,long-tail,11,11,16,15,1,0,1028,11,2016-05-14,2019-03-08,5298,4,0.6875,1,Gayle Trotter,,,no,,review,"Law professor Paul Butler, political commentator Gayle Trotter and sports editor Dave Zirin weigh in on President Trump's DACA decision, NFL player Michael Bennett's allegations of mistreatment by the Las Vegas police an",Peter Wehner,0.32,4,INDEPENDENT WOMEN S FORUM / ATTORNEY AND SR FELLOW INDEPENDENT WOMEN S FORUM / SENIOR FELLOW INDEPENDENT WOMEN S FORUM / ATTORNEY& SR FELLOW INDEPENDENT WOMEN S FORUNIDENTIFIED MALE,False,False,False,False,False,False,GAYLE TROTTER,CHECK summaries use a role word (outside journalist or recurring pundit?); 1 re-airings collapsed,CNN-200232|2013-01-30|ANDERSON COOPER 360 DEGREES|cl1|-;CNN-200234|2013-01-30|ANDERSON COOPER 360 DEGREES|cl1|-;CNN-200301|2013-01-31|ANDERSON COOPER 360 DEGREES|cl2|-;CNN-200597|2013-02-04|STUDENT NEWS|cl3|-;CNN-206062|2013-05-02|ERIN BURNETT OUTFRONT|cl4|-;NPR-22016|2016-05-14|All Things Considered|cl13|S;NPR-21613|2016-06-25|All Things Considered|cl12|S;NPR-20556|2016-10-08|All Things Considered|cl11|S;NPR-20274|2016-11-12|All Things Considered|cl10|S;NPR-19967|2016-12-10|All Things Considered|cl9|S;NPR-18955|2017-04-01|All Things Considered|cl7|S;NPR-15792|2017-09-09|All Things Considered|cl6|S;NPR-46554|2018-05-19|All Things Considered|cl15|S;NPR-46056|2018-06-29|All Things Considered|cl14|S;NPR-1960|2018-11-23|All Things Considered|cl8|S;NPR-13180|2019-03-08|All Things Considered|cl5|S
C00752,Emira Woods,True,True,long-tail,10,10,17,17,0,0,1138,10,2005-09-16,2008-10-28,9304,4,0.6471,1,Emira Woods,,,no,,no,,List of Top Gear (2002 TV series) episodes,0.226,11,CO DIRECTOR FOREIGN POLICY IN FOCUS INSTITUTE FOR POLICY STUDIES / INSTITUTE OF POLICY STUDIES / CO DIRECTOR FOREIGN POLICY IN FOCUS INSTITUTE OF POLICY STUDIES / CO DIRECTOR OF FOREIGN POLICY IN FOCUS INSTITUTE FOR POLICY STUDIES,False,False,False,False,False,False,Ms. EMIRA WOODS (Institute of Policy Studies),"clean: no staff evidence, full name, no duplicate inflation",CNN-73323|2003-07-06|CNN SUNDAY MORNING|cl3|-;CNN-78967|2003-11-08|INSIDE AFRICA|cl4|-;CNN-81884|2004-02-07|INSIDE AFRICA|cl5|-;CNN-85348|2004-06-12|INSIDE AFRICA|cl6|-;NPR-48025|2005-05-17|News & Notes|cl16|-;NPR-46842|2005-09-16|News & Notes|cl14|S;NPR-4101|2006-08-25|News & Notes|cl13|S;NPR-2733|2007-01-03|News & Notes|cl10|S;CNN-113479|2007-01-06|INSIDE AFRICA|cl1|-;NPR-475|2007-10-16|News & Notes|cl15|S;NPR-310|2007-11-06|News & Notes|cl11|S;NPR-12927|2008-01-01|News & Notes|cl9|S;NPR-10811|2008-03-11|News & Notes|cl8|S;NPR-40499|2008-03-29|All Things Considered|cl12|S;NPR-10732|2008-04-01|News & Notes|cl7|S;NPR-9707|2008-10-28|News & Notes|cl17|S;CNN-133237|2008-12-13|INSIDE AFRICA|cl2|-
C01180,Jimi Izrael,True,True,long-tail,10,10,15,15,0,0,3827,10,2005-06-13,2015-12-05,7416,4,1.0,1,Jimi Izrael,,,no,,review,Commentator Jimi Izrael hates being called articulate. He says he's put off when someone acts surprised that a black man can talk and write intelligently.,John D. F. Black,0.222,2,COLUMNIST AOL BLACK VOICES / COLUMNIST AOL S BLACK VOICES,False,False,False,False,False,False,JIMI IZRAEL,CHECK summaries use a role word (outside journalist or recurring pundit?),NPR-16981|2005-06-13|Day to Day|cl4|S;NPR-47606|2005-07-05|News & Notes|cl14|S;NPR-15734|2005-09-09|Day to Day|cl3|-;NPR-15002|2005-12-01|Day to Day|cl2|-;NPR-14795|2006-01-19|Day to Day|cl1|-;NPR-4559|2006-07-25|News & Notes|cl13|S;NPR-4223|2006-08-15|News & Notes|cl12|S;NPR-3806|2006-09-25|News & Notes|cl11|S;NPR-3438|2006-10-30|News & Notes|cl10|S;NPR-2465|2007-01-31|News & Notes|cl9|S;NPR-2280|2007-02-20|News & Notes|cl6|S;NPR-7138|2010-12-02|Talk of the Nation|cl15|S;NPR-23793|2015-10-24|All Things Considered|cl8|-;NPR-23445|2015-12-05|All Things Considered|cl7|S;NPR-21410|2016-07-17|All Things Considered|cl5|-
C02124,Samer Shehata,True,True,long-tail,9,9,28,24,4,0,1099,9,2011-01-29,2014-02-01,7881,17,0.3929,1,Samer Shehata,,,no,,no,,Hassan Shehata,0.741,11,ASSISTANT PROFESSOR OF ARAB POLITICS GEORGETOWN UNIVERSITY / ARAB POLITICS GEORGETOWN UNIVERSITY / GEORGETOWN UNIVERSITY / PROFESSOR GEORGETOWN UNIVERSITY,False,False,False,False,False,False,SAMER SHEHATA,4 re-airings collapsed,CNN-41441|2001-10-09|CNN THE POINT WITH GRETA VAN SUSTEREN|cl4|-;CNN-43473|2001-11-09|GREENFIELD AT LARGE|cl5|-;CNN-52091|2002-04-06|CNN SATURDAY|cl6|-;CNN-52565|2002-04-16|AMERICAN MORNING WITH PAULA ZAHN|cl7|-;CNN-56408|2002-06-23|CNN SUNDAY NIGHT|cl8|-;CNN-68923|2003-04-03|CNN LIVE EVENT/SPECIAL|cl9|-;CNN-69764|2003-04-22|CNN LIVE EVENT/SPECIAL|cl10|-;CNN-72659|2003-06-22|CNN SUNDAY NIGHT|cl11|-;CNN-72981|2003-06-29|CNN LIVE SUNDAY|cl6|-;CNN-85337|2004-06-12|CNN LIVE SATURDAY|cl6|-;CNN-85867|2004-07-01|AMERICAN MORNING|cl7|-;CNN-86162|2004-07-12|ANDERSON COOPER 360 DEGREES|cl12|-;CNN-86690|2004-07-31|CNN LIVE SATURDAY|cl13|-;CNN-88299|2004-09-23|CNN LIVE TODAY|cl7|-;NPR-30394|2010-12-14|Morning Edition|cl19|-;NPR-33910|2011-01-29|All Things Considered|cl24|S;NPR-2929|2011-02-01|Talk of the Nation|cl17|S;NPR-33809|2011-02-12|All Things Considered|cl23|S;NPR-32437|2011-10-13|All Things Considered|cl22|S;NPR-32351|2011-11-25|All Things Considered|cl21|S;CNN-187112|2012-06-02|CNN NEWSROOM|cl1|-;CNN-187114|2012-06-02|CNN NEWSROOM|cl2|-;NPR-10775|2012-06-14|Talk of the Nation|cl14|S;NPR-31093|2012-08-13|All Things Considered|cl20|-;NPR-30384|2012-11-24|All Things Considered|cl18|S;NPR-28816|2013-07-06|All Things Considered|cl16|S;NPR-12184|2014-02-01|Weekend Edition Saturday|cl15|S;CNN-372670|2019-06-18|HALA GORANI TONIGHT|cl3|-
C00700,Dru Ealons,True,True,long-tail,9,9,9,9,0,0,1379,9,2015-11-07,2019-08-17,4228,1,1.0,1,Dru Ealons,,,no,,no,,,0.0,0,,False,False,False,False,False,False,DRU EALONS,CHECK 9 interviews across only 1 program(s) — recurring panelist rather than interview subject?,NPR-23699|2015-11-07|All Things Considered|cl7|S;NPR-23292|2015-12-26|All Things Considered|cl6|S;NPR-22795|2016-02-20|All Things Considered|cl5|S;NPR-22590|2016-03-12|All Things Considered|cl4|S;NPR-22016|2016-05-14|All Things Considered|cl3|S;NPR-20468|2016-10-22|All Things Considered|cl2|S;NPR-14283|2017-12-16|All Things Considered|cl1|S;NPR-9687|2019-07-27|All Things Considered|cl9|S;NPR-9236|2019-08-17|All Things Considered|cl8|S
C00819,George Joffe,True,True,long-tail,8,8,9,9,0,0,700,8,2011-03-07,2013-02-04,13774,2,1.0,1,George Joffe,,,no,,no,,Rowan Joffé,0.522,3,CAMBRIDGE UNIVERSITY / RESEARCH FELLOW CENTER OF INTERNATIONAL STUDIES CAMBRIDGE UNIVERSITY / RESEARCH FELLOW CENTRE OF INTERNATIONAL STUDIES CAMBRIDGE UNIVERSITY,False,False,False,False,False,False,GEORGE JOFFE,CHECK 8 interviews across only 2 program(s) — recurring panelist rather than interview subject?,NPR-33715|2011-03-01|All Things Considered|cl7|-;NPR-2667|2011-03-07|Talk of the Nation|cl6|S;NPR-2590|2011-03-14|Talk of the Nation|cl5|S;NPR-2164|2011-04-21|Talk of the Nation|cl4|S;NPR-1527|2011-08-17|Talk of the Nation|cl3|S;NPR-1487|2011-08-22|Talk of the Nation|cl2|S;NPR-11164|2012-05-09|Talk of the Nation|cl1|S;NPR-9752|2013-01-17|Talk of the Nation|cl9|S;NPR-5806|2013-02-04|Talk of the Nation|cl8|S
