model,arm,role,signal,map,fit,n,n_subjects,base_rate,mean_confidence,ece_equal_width,ece_equal_width_lo,ece_equal_width_hi,ece_equal_mass,ece_equal_mass_lo,ece_equal_mass_hi,brier,brier_constant_baserate,auc,constant_baserate_ece
Gemma-4-31B-it,h7_twin_redacted,secondary,A_cosine_to_real,isotonic,held_out_crossfit,107,21,0.691589,0.683004,0.106061,0.067499,0.228126,0.120626,0.077941,0.242614,0.232215,0.213294,0.550573,0.0
Gemma-4-31B-it,h7_twin_redacted,secondary,A_cosine_to_real,isotonic,naive_full_sample,107,21,0.691589,0.691589,0.0,0.015166,0.13519,0.081456,0.056559,0.18274,0.193917,0.213294,0.656839,0.0
Gemma-4-31B-it,h7_twin_redacted,secondary,A_cosine_to_real,platt,held_out_crossfit,107,21,0.691589,0.679224,0.076744,0.054788,0.166625,0.090024,0.088366,0.231363,0.209357,0.213294,0.607699,0.0
Gemma-4-31B-it,h7_twin_redacted,secondary,A_cosine_to_real,platt,naive_full_sample,107,21,0.691589,0.691301,0.044937,0.032358,0.142057,0.095865,0.076049,0.222952,0.205501,0.213294,0.61507,0.0
Gemma-4-31B-it,imposter_redacted,secondary,A_cosine_to_real,isotonic,held_out_crossfit,250,85,0.604,0.599289,0.11609,0.077164,0.181486,0.14371,0.081199,0.179256,0.240541,0.239184,0.631413,0.0
Gemma-4-31B-it,imposter_redacted,secondary,A_cosine_to_real,isotonic,naive_full_sample,250,85,0.604,0.604,0.0,0.019408,0.088587,0.054437,0.041836,0.111587,0.208888,0.239184,0.692956,0.0
Gemma-4-31B-it,imposter_redacted,secondary,A_cosine_to_real,platt,held_out_crossfit,250,85,0.604,0.605772,0.065335,0.04447,0.137032,0.092337,0.072061,0.171279,0.231451,0.239184,0.632618,0.0
Gemma-4-31B-it,imposter_redacted,secondary,A_cosine_to_real,platt,naive_full_sample,250,85,0.604,0.603973,0.020052,0.027698,0.102553,0.080748,0.06025,0.149498,0.220324,0.239184,0.661181,0.0
Gemma-4-31B-it,twin_named,secondary,A_cosine_to_real,isotonic,held_out_crossfit,311,88,0.745981,0.71899,0.08927,0.056481,0.146572,0.120078,0.07862,0.167979,0.211372,0.189493,0.546186,0.0
Gemma-4-31B-it,twin_named,secondary,A_cosine_to_real,isotonic,naive_full_sample,311,88,0.745981,0.745981,0.0,0.008266,0.062667,0.037602,0.033558,0.088543,0.177731,0.189493,0.627701,0.0
Gemma-4-31B-it,twin_named,secondary,A_cosine_to_real,platt,held_out_crossfit,311,88,0.745981,0.717836,0.092328,0.053711,0.145366,0.11508,0.079831,0.166787,0.205921,0.189493,0.518496,0.0
Gemma-4-31B-it,twin_named,secondary,A_cosine_to_real,platt,naive_full_sample,311,88,0.745981,0.745929,0.008903,0.012303,0.070856,0.071251,0.046111,0.116405,0.185121,0.189493,0.596574,0.0
Gemma-4-31B-it,twin_named,secondary,B_perturbation_cosine,isotonic,held_out_crossfit,311,88,0.745981,0.737168,0.091261,0.050063,0.146053,0.105213,0.078867,0.174196,0.208214,0.189493,0.456487,0.0
Gemma-4-31B-it,twin_named,secondary,B_perturbation_cosine,isotonic,naive_full_sample,311,88,0.745981,0.745981,0.0,0.008757,0.065978,0.042248,0.033489,0.089169,0.18419,0.189493,0.574258,0.0
Gemma-4-31B-it,twin_named,secondary,B_perturbation_cosine,platt,held_out_crossfit,311,88,0.745981,0.736118,0.071574,0.040936,0.118696,0.102657,0.080968,0.16999,0.199957,0.189493,0.41603,0.0
Gemma-4-31B-it,twin_named,secondary,B_perturbation_cosine,platt,naive_full_sample,311,88,0.745981,0.745929,0.00971,0.005245,0.060433,0.059079,0.051966,0.130134,0.188367,0.189493,0.515441,0.0
Gemma-4-31B-it,twin_redacted,PRIMARY,A_cosine_to_real,isotonic,held_out_crossfit,303,88,0.729373,0.71113,0.078513,0.04427,0.135655,0.116231,0.077633,0.172183,0.217213,0.197388,0.531812,0.0
Gemma-4-31B-it,twin_redacted,PRIMARY,A_cosine_to_real,isotonic,naive_full_sample,303,88,0.729373,0.729373,0.0,0.013267,0.071596,0.050259,0.036678,0.095678,0.187787,0.197388,0.614115,0.0
Gemma-4-31B-it,twin_redacted,PRIMARY,A_cosine_to_real,platt,held_out_crossfit,303,88,0.729373,0.714681,0.086072,0.047483,0.145186,0.09394,0.071339,0.155801,0.205896,0.197388,0.517768,0.0
Gemma-4-31B-it,twin_redacted,PRIMARY,A_cosine_to_real,platt,naive_full_sample,303,88,0.729373,0.729324,0.010767,0.012738,0.070954,0.057224,0.048083,0.124005,0.194287,0.197388,0.576592,0.0
