model,arm,signal,map,fit,scheme,bin,n,weight,conf_lo,conf_hi,mean_conf,empirical_rate,gap
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,0,2,0.018691588785046728,0.0,0.0,0.0,0.5,0.5
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,2,5,0.04672897196261682,0.25,0.25,0.25,0.6,0.35
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,4,3,0.028037383177570093,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.3333333333333333,-0.09523809523809523
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,5,18,0.16822429906542055,0.5333333333333333,0.6,0.5407407407407407,0.7222222222222222,0.18148148148148147
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,7,70,0.6542056074766355,0.7272727272727273,0.7777777777777778,0.7561327561327562,0.7142857142857143,-0.04184704184704191
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,8,7,0.06542056074766354,0.8181818181818182,0.8571428571428571,0.8404452690166976,0.8571428571428571,0.016697588126159513
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,9,2,0.018691588785046728,1.0,1.0,1.0,0.0,-1.0
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_mass,0,11,0.102803738317757,0.0,0.5333333333333333,0.279004329004329,0.5454545454545454,0.26645021645021644
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_mass,1,11,0.102803738317757,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.7272727272727273,0.19393939393939397
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_mass,2,11,0.102803738317757,0.5333333333333333,0.7272727272727273,0.6336088154269972,0.6363636363636364,0.0027548209366391463
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_mass,3,11,0.102803738317757,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.0
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_mass,4,11,0.102803738317757,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.5454545454545454,-0.18181818181818188
