anchor	CNN HOST, AMANPOUR	CNN'S AMANPOUR
anchor	CNN ANCHOR, SATURDAY MORNING	CNN SATURDAY MORNING NEWS
false	NEW YORK	NEW DAY
anchor	DIPLOMATIC LICENSE	CNN International Diplomatic Linense
false	LARRY KING'S SON	CNN LARRY KING LIVE
staff	CNN STUDENT BUREAU	CNN STUDENT NEWS
anchor	CNN ANCHOR, CNN SATURDAY MORNING	CNN SATURDAY MORNING NEWS
staff	WORLD BEAT	WorldBeat
staff	CNN INTERNATIONAL ANCHOR	INTERNATIONAL CORRESPONDENTS
anchor	CNN SPECIAL REPORT HOST	CNN SPECIAL REPORTS
anchor	HOST, AMANPOUR	CNN'S AMANPOUR
staff	NANCY PRODUCER	NANCY GRACE
anchor	NEWSNIGHT ANCHOR	CNN NEWSNIGHT AARON BROWN
anchor	AMANPOUR HOST	CNN'S AMANPOUR
false	LARRY KING'S WIFE	CNN LARRY KING LIVE
anchor	HOST "INSIDE POLITICS"	JUDY WOODRUFF'S INSIDE POLITICS
false	LARRY'S WIFE	CNN LARRY KING LIVE
false	SPECIAL PROSECUTOR	CNN SPECIAL REPORTS
false	LARRY KING'S DAUGHTER	CNN LARRY KING LIVE
staff	CAPITOL GANG	CNN CAPITAL GANG
anchor	HOST "SITUATION ROOM"	THE SITUATION ROOM
false	STUDENT, NEPAL	CNN STUDENT NEWS
anchor	CNN ANCHOR, "COUMO PRIME TIME"	CUOMO PRIME TIME
false	LARRY KING'S FRIEND	CNN LARRY KING LIVE
anchor	HOST, "ANDERSON COOPER 360"	ANDERSON COOPER 360 DEGREES
anchor	HOST, ANDERSON COOPER 360	ANDERSON COOPER 360 DEGREES
anchor	CNN HOST, ANDERSON COOPER 360	ANDERSON COOPER 360 DEGREES
anchor	SHOWBIZ HOST	SHOWBIZ TONIGHT
false	MOTHER OF JANE VELEZ-MITCHELL	ISSUES WITH JANE VELEZ-MITCHELL
anchor	SHOWBIZ CO-HOST	SHOWBIZ TONIGHT
staff	CNN ENTERTAINMENT CORRESPONDENT	INTERNATIONAL CORRESPONDENTS
false	PRIEST	CNN PRESENTS
anchor	"PIECE OF ME") VELEZ-MITCHELL	JANE VELEZ-MITCHELL
false	"USA TODAY"	Saturday
anchor	CNN AMANPOUR HOST	CNN'S AMANPOUR
false	LARRY KING'S BROTHER	CNN LARRY KING LIVE
false	INTERNATIONAL ALERT	CNN International Diplomatic Linense
false	POLITICO	INSIDE POLITICS
false	SON OF LARRY KING	CNN LARRY KING LIVE
false	"PEOPLE" MAGAZINE	CNN PEOPLE IN THE NEWS
false	"POLITICO"	INSIDE POLITICS
false	WIFE OF LARRY KING	CNN LARRY KING LIVE
false	BLOOMBERG POLITICS	INSIDE POLITICS
false	SECRETARY OF STATE	EARLY START
staff	CNN SENIOR POLITICAL REPORTER	CNN SPECIAL REPORTS
false	JR. LARRY KING'S SON	CNN LARRY KING LIVE
anchor	" 1997) LARRY KING, HOST	CNN LARRY KING LIVE
anchor	CNN CO-ANCHOR, CNN SATURDAY MORNING	CNN SATURDAY MORNING NEWS
false	AMERICARES	AMERICAN MORNING
false	"BLOOMBERG POLITICS"	INSIDE POLITICS
anchor	LARRY KING LIVE) LARRY KING	CNN LARRY KING WEEKEND
staff	CNN CRIME AND JUSTICE EDITORIAL PRODUCER	CRIME AND JUSTICE WITH ASHLEIGH BANFIELD
anchor	2003) LARRY KING, HOST	CNN LARRY KING LIVE
anchor	PRIMETIME JUSTICE SHOW HOST	PRIMETIME JUSTICE WITH ASHLEIGH BANFIELD
false	HIV SPECIALIST	CNN LIVE EVENT/SPECIAL
false	HOST, "TONIGHT" SHOW	SHOWBIZ TONIGHT
false	EAGLETON INSTITUTE OF POLITICS	CNN INSIDE POLITICS
false	TREASURY SECRETARY	EARLY START
anchor	CRIME AND JUSTICE SHOW HOST, HLN	CRIME AND JUSTICE WITH ASHLEIGH BANFIELD
false	NEVADA	NEW DAY
anchor	"LARRY KING LIVE," FEBRUARY 6) KING	CNN LARRY KING WEEKEND
anchor	CNN ZAKARIA FAREED GPS	FAREED ZAKARIA GPS
anchor	CNN ANCHOR, BIZASIA	EBIZ ASIA
false	"PEOPLE" MAGAZINE	PEOPLE IN THE NEWS
false	PEOPLE MAGAZINE	CNN PEOPLE IN THE NEWS
false	AIR AMERICA RADIO	AMERICAN MORNING
false	IRANIAN-AMERICAN JOURNALIST	AMERICAN MORNING
anchor	CNN NEWS ANCHOR, CNN SATURDAY MORNING	CNN SATURDAY MORNING NEWS
false	NEWS CORP	NEWS STREAM
staff	CNN CORRESPONDENT	CNN PRESENTS
staff	CNN SENIOR POLITICAL ANALYST	Inside Politics
staff	CNN SENIOR POLITICAL ANALYST	CNN INSIDE POLITICS
staff	CNN SR. POLITICAL ANALYST	CNN INSIDE POLITICS
false	FOX NEWS HOST	CNN NEWSROOM
false	NEW JERSEY	NEW DAY
false	HOST, "THE TONIGHT SHOW"	SHOWBIZ TONIGHT
false	ABC NEWS HOST	CNN NEWSROOM
false	THE BROOKINGS INSTITUTION	THE SITUATION ROOM
false	FOX NEWS ANCHOR	NEW DAY
anchor	CNN THE LEAD ANCHOR	THE LEAD WITH JAKE TAPPER
false	FRIEND OF LARRY KING	CNN LARRY KING LIVE
false	CBS NEWS HOST	CNN NEWSROOM
false	"NEWSWEEK"	CNN NEWS SITE
false	NEWS CORP CEO	NEWS STREAM
staff	CRIME AND JUSTICE PRODUCER	CRIME AND JUSTICE WITH ASHLEIGH BANFIELD
staff	CNN SR. POLITICAL ANALYST	Inside Politics
false	"DALLAS MORNING NEWS"	AMERICAN MORNING
false	ITN REPORTER	CNN WOLF BLITZER REPORTS
false	FMR. U.S. PRESIDENT	CNN PRESENTS
false	AUTHOR "AMERICAN GRIT"	AMERICAN MORNING
false	HOST, "PIERS MORGAN TONIGHT"	SHOWBIZ TONIGHT
false	AMERICAN RED CROSS	AMERICAN MORNING
false	THE HERITAGE FOUNDATION	THE SITUATION ROOM
false	FORMER PRESIDENT	CNN PRESENTS
false	FREED AMERICAN HOSTAGE	AMERICAN MORNING
false	NEWS CORP CEO	CNN NEWSROOM
staff	CNN'S YOUR BOTTOM LINE	YOUR MONEY
false	CONNECTICUT	CONNECT THE WORLD
false	PLAINTIFF	POINT
false	REPORTER, POLITICO	INSIDE POLITICS
false	AOL MONEY COACH	YOUR MONEY
false	MISSION SPECIALIST	CNN LIVE EVENT/SPECIAL
false	PRESIDENT, WORLDVISION	CNN PRESENTS
false	HOST, "LOU DOBBS TONIGHT"	SHOWBIZ TONIGHT
false	AUSTIN BUREAU CHIEF, "THE DALLAS MORNING NEWS"	Saturday Morning News
false	POLITICS.COM	Inside Politics
false	PRESIDENT, AMERICANA MORTGAGE	AMERICAN MORNING
false	CO-STAR, "A PLACE IN THE SUN"	PEOPLE IN THE NEWS
false	PBS NEWS HOUR	CNN NEWSROOM
false	NEWS CORP	CNN NEWSROOM
false	"THE SUNDAY TIMES"	THE SITUATION ROOM
anchor	CNN HOST, OUTFRONT	ERIN BURNETT OUTFRONT
false	FOX NEWS, HOST	CNN NEWSROOM
anchor	CNN NEWS HOST	CNN NEWSROOM
anchor	"LARRY KING LIVE," JANUARY 8, 1992) KING	Larry King Live Weekend
false	AMERICAN FAMILY INSURANCE	AMERICAN MORNING
false	"PLACE IN THE SUN") TAYLOR	PEOPLE IN THE NEWS
false	WIFE OF FIGHTER PILOT	CNN WOLF BLITZER REPORTS
false	MAYOR, NEW YORK	YOUR MONEY
false	"DETROIT NEWS"	Morning News
false	EAGLES SAFETY	EARLY START
staff	CNN CORRESPONDENT, CNN SATURDAY MORNING	CNN SATURDAY MORNING NEWS
false	STUDENT, AMERICAN SAMOA	AMERICAN MORNING
anchor	CNN THE LEAD HOST	THE LEAD WITH JAKE TAPPER
anchor	CNN HOST, WORLD RIGHT NOW	WORLD RIGHT NOW WITH HALA GORANI
false	PRESIDENT OF THE U.S	CNN PRESENTS
anchor	HOST: GRACE	NANCY GRACE
false	JR., SON OF LARRY KING	CNN LARRY KING LIVE
false	CBS NEWS REPORTER	CNN SPECIAL REPORTS
false	ABC NEWS REPORTER	CNN SPECIAL REPORTS
false	NATIONAL BLACK POLICE ASSN	CNN TALKBACK LIVE
staff	SENIOR POLITICAL ANALYST	CNN INSIDE POLITICS
anchor	MARCH 27) LARRY KING, HOST	Larry King Live
staff	CNN SENIOR POLITICAL ANALYST	INSIDE POLITICS
false	MARINE HISTORIAN	AMERICAN MORNING
false	CINCINNATI POLICE	CNN INSIDE POLITICS
false	OWNER OF NEW MLS TEAM	NEWS STREAM
false	IRANIAN PRESIDENT	CNN PRESENTS
false	"ROLLING STONE"	Morning News
false	HOST, "WASHINGTON WATCH WITH ROLAND MARTIN"	STARTING POINT WITH SOLEDAD O'BRIEN
false	NEW YORKER.COM	NEWS STREAM
false	"TIME" INTERNATIONAL EDITOR	THE SITUATION ROOM
false	and one thing is clear	All Things Considered
false	FREELANCE JOURNALIST	CNN RELIABLE SOURCES
anchor	CNN NEWS ANCHOR	NEW DAY
false	PROFESSOR	CROSSFIRE
false	INSTITUTE FOR JUSTICE	Inside Politics
false	TNT SIDELINE REPORTER	CNN SPECIAL REPORTS
false	HOST, "NEWSNIGHT"	SHOWBIZ TONIGHT
false	"FACE THE NATION") PELOSI	THE SITUATION ROOM
staff	CNN ASIA BUSINESS EDITOR	QUEST MEANS BUSINESS
