canonical_id,canonical_name,wiki_status,subst_dedup,n_appearances,appearances_collapsed,span_days_dedup,n_dates_dedup,first_date,last_date,npr_share,n_programs,total_guest_words,n_variants,merge_rules,merge_evidence,top_raw_label,n_affiliations,affiliations,summary_staff,note,transcripts
C00344,Bob Meadows,long-tail,33,36,0,691,33,2005-05-12,2007-04-03,0.9722,3,18567,1,,,"Mr. BOB MEADOWS (Writer, People Magazine)",4,WRITER PEOPLE MAGAZINE / PEOPLE MAGAZINE / STAFF WRITER PEOPLE MAGAZINE / WRITE PEOPLE MAGAZINE,no,"clean: no staff evidence, full name, no duplicate inflation",CNN-27211|2001-03-15|Burden of Proof|cl1|-;NPR-48138|2005-05-12|News & Notes|cl32|S;NPR-47919|2005-05-27|News & Notes|cl31|S;NPR-47542|2005-07-12|News & Notes|cl30|S;NPR-47305|2005-08-04|News & Notes|cl29|S;NPR-47234|2005-08-12|News & Notes|cl28|S;NPR-47071|2005-08-30|News & Notes|cl26|S;NPR-46618|2005-10-07|News & Notes|cl25|S;NPR-46449|2005-11-22|News & Notes|cl24|S;NPR-5438|2006-01-19|News & Notes|cl35|S;NPR-45771|2006-02-07|News & Notes|cl23|-;NPR-45680|2006-02-15|News & Notes|cl22|S;NPR-45456|2006-03-02|News & Notes|cl21|S;NPR-45182|2006-03-24|News & Notes|cl20|S;NPR-44978|2006-04-06|News & Notes|cl19|S;NPR-44556|2006-05-15|News & Notes|cl17|S;NPR-4833|2006-06-29|News & Notes|cl33|S;NPR-4710|2006-07-11|News & Notes|cl27|S;NPR-4479|2006-07-27|News & Notes|cl18|S;NPR-4207|2006-08-17|News & Notes|cl16|S;NPR-4182|2006-08-24|News & Notes|cl15|S;NPR-3925|2006-09-19|News & Notes|cl14|S;NPR-7405|2006-09-21|News & Notes|cl36|S;NPR-3655|2006-10-03|News & Notes|cl13|S;NPR-3648|2006-10-10|News & Notes|cl12|S;NPR-3417|2006-11-01|News & Notes|cl11|S;NPR-3162|2006-11-16|News & Notes|cl10|S;NPR-5314|2006-11-20|News & Notes|cl34|S;NPR-2930|2006-12-15|News & Notes|cl9|S;NPR-2625|2007-01-11|News & Notes|cl8|S;NPR-2473|2007-01-30|News & Notes|cl7|S;NPR-2282|2007-02-20|News & Notes|cl6|S;NPR-2162|2007-02-28|News & Notes|cl5|S;NPR-2134|2007-03-06|News & Notes|cl3|S;NPR-1896|2007-04-03|News & Notes|cl2|S;NPR-21565|2015-07-10|Morning Edition|cl4|-
C00752,Emira Woods,long-tail,10,17,0,1138,10,2005-09-16,2008-10-28,0.6471,4,9304,1,,,Ms. EMIRA WOODS (Institute of Policy Studies),11,CO DIRECTOR FOREIGN POLICY IN FOCUS INSTITUTE FOR POLICY STUDIES / INSTITUTE OF POLICY STUDIES / CO DIRECTOR FOREIGN POLICY IN FOCUS INSTITUTE OF POLICY STUDIES / CO DIRECTOR OF FOREIGN POLICY IN FOCUS INSTITUTE FOR POLICY STUDIES,no,"clean: no staff evidence, full name, no duplicate inflation",CNN-73323|2003-07-06|CNN SUNDAY MORNING|cl3|-;CNN-78967|2003-11-08|INSIDE AFRICA|cl4|-;CNN-81884|2004-02-07|INSIDE AFRICA|cl5|-;CNN-85348|2004-06-12|INSIDE AFRICA|cl6|-;NPR-48025|2005-05-17|News & Notes|cl16|-;NPR-46842|2005-09-16|News & Notes|cl14|S;NPR-4101|2006-08-25|News & Notes|cl13|S;NPR-2733|2007-01-03|News & Notes|cl10|S;CNN-113479|2007-01-06|INSIDE AFRICA|cl1|-;NPR-475|2007-10-16|News & Notes|cl15|S;NPR-310|2007-11-06|News & Notes|cl11|S;NPR-12927|2008-01-01|News & Notes|cl9|S;NPR-10811|2008-03-11|News & Notes|cl8|S;NPR-40499|2008-03-29|All Things Considered|cl12|S;NPR-10732|2008-04-01|News & Notes|cl7|S;NPR-9707|2008-10-28|News & Notes|cl17|S;CNN-133237|2008-12-13|INSIDE AFRICA|cl2|-
C02124,Samer Shehata,long-tail,9,28,4,1099,9,2011-01-29,2014-02-01,0.3929,17,7881,1,,,SAMER SHEHATA,11,ASSISTANT PROFESSOR OF ARAB POLITICS GEORGETOWN UNIVERSITY / ARAB POLITICS GEORGETOWN UNIVERSITY / GEORGETOWN UNIVERSITY / PROFESSOR GEORGETOWN UNIVERSITY,no,4 re-airings collapsed,CNN-41441|2001-10-09|CNN THE POINT WITH GRETA VAN SUSTEREN|cl4|-;CNN-43473|2001-11-09|GREENFIELD AT LARGE|cl5|-;CNN-52091|2002-04-06|CNN SATURDAY|cl6|-;CNN-52565|2002-04-16|AMERICAN MORNING WITH PAULA ZAHN|cl7|-;CNN-56408|2002-06-23|CNN SUNDAY NIGHT|cl8|-;CNN-68923|2003-04-03|CNN LIVE EVENT/SPECIAL|cl9|-;CNN-69764|2003-04-22|CNN LIVE EVENT/SPECIAL|cl10|-;CNN-72659|2003-06-22|CNN SUNDAY NIGHT|cl11|-;CNN-72981|2003-06-29|CNN LIVE SUNDAY|cl6|-;CNN-85337|2004-06-12|CNN LIVE SATURDAY|cl6|-;CNN-85867|2004-07-01|AMERICAN MORNING|cl7|-;CNN-86162|2004-07-12|ANDERSON COOPER 360 DEGREES|cl12|-;CNN-86690|2004-07-31|CNN LIVE SATURDAY|cl13|-;CNN-88299|2004-09-23|CNN LIVE TODAY|cl7|-;NPR-30394|2010-12-14|Morning Edition|cl19|-;NPR-33910|2011-01-29|All Things Considered|cl24|S;NPR-2929|2011-02-01|Talk of the Nation|cl17|S;NPR-33809|2011-02-12|All Things Considered|cl23|S;NPR-32437|2011-10-13|All Things Considered|cl22|S;NPR-32351|2011-11-25|All Things Considered|cl21|S;CNN-187112|2012-06-02|CNN NEWSROOM|cl1|-;CNN-187114|2012-06-02|CNN NEWSROOM|cl2|-;NPR-10775|2012-06-14|Talk of the Nation|cl14|S;NPR-31093|2012-08-13|All Things Considered|cl20|-;NPR-30384|2012-11-24|All Things Considered|cl18|S;NPR-28816|2013-07-06|All Things Considered|cl16|S;NPR-12184|2014-02-01|Weekend Edition Saturday|cl15|S;CNN-372670|2019-06-18|HALA GORANI TONIGHT|cl3|-
C00203,Anna Greenberg,long-tail,8,25,3,2312,8,2007-02-26,2013-06-26,0.48,12,11747,1,,,ANNA GREENBERG,10,DEMOCRATIC STRATEGIST PARTNER GREENBERG QUINLAN & ROSNER / SENIOR VICE PRESIDENT AND PRINCIPAL GREENBERG QUINLAN ROSNER / DEMOCRATIC POLLSTER / SENIOR VICE PRESIDENT PRINCIPAL GREENBERG QUINLAN ROSNER,no,3 re-airings collapsed,CNN-18360|2000-10-21|Saturday|cl4|-;CNN-62561|2002-11-04|CNN CROSSFIRE|cl6|-;CNN-77711|2003-10-05|CNN LIVE SUNDAY|cl7|-;CNN-78845|2003-11-05|CNN CROSSFIRE|cl8|-;CNN-84542|2004-05-12|ANDERSON COOPER 360 DEGREES|cl9|-;CNN-87640|2004-09-01|JUDY WOODRUFF'S INSIDE POLITICS|cl10|-;CNN-87659|2004-09-02|CNN LIVE AT DAYBREAK|cl10|-;NPR-37869|2006-09-19|Morning Edition|cl16|-;CNN-111569|2006-10-28|CNN NEWSROOM|cl1|-;CNN-113774|2007-01-16|THE SITUATION ROOM|cl2|-;CNN-113781|2007-01-16|THE SITUATION ROOM|cl2|-;NPR-16493|2007-02-26|Talk of the Nation|cl13|S;NPR-36719|2007-03-27|Morning Edition|cl15|-;CNN-128526|2008-07-10|THE SITUATION ROOM|cl3|-;CNN-128529|2008-07-10|THE SITUATION ROOM|cl3|-;NPR-45301|2010-03-24|Talk of the Nation|cl19|S;NPR-4401|2010-09-01|Talk of the Nation|cl18|S;NPR-3828|2010-10-27|Talk of the Nation|cl17|S;NPR-840|2011-11-09|Talk of the Nation|cl22|S;NPR-10664|2012-06-27|Talk of the Nation|cl12|S;NPR-10074|2012-11-14|Talk of the Nation|cl11|S;NPR-8117|2013-06-26|Talk of the Nation|cl21|S;NPR-25600|2014-12-12|All Things Considered|cl14|-;NPR-772|2019-01-16|Morning Edition|cl20|-;CNN-379078|2019-08-30|INSIDE POLITICS|cl5|-
C00854,Gregory Johnsen,long-tail,8,20,3,2052,8,2009-01-28,2014-09-11,0.45,9,7154,1,,,GREGORY JOHNSEN,9,FULBRIGHT HAYS FELLOW / PRINCETON UNIVERSITY / PHD CANDIDATE PRINCETON UNIVERSITY EDITOR ISLAM AND INSURGENCY IN YEMEN / AUTHOR THE LAST REFUGE YEMEN,no,3 re-airings collapsed,NPR-37713|2009-01-28|All Things Considered|cl16|S;CNN-146585|2010-01-02|CNN NEWSROOM|cl1|-;CNN-146615|2010-01-03|CNN SUNDAY MORNING|cl2|-;NPR-30698|2010-11-01|Morning Edition|cl12|S;NPR-3793|2010-11-04|Talk of the Nation|cl17|S;NPR-2417|2011-03-24|Talk of the Nation|cl9|S;NPR-33179|2011-05-18|All Things Considered|cl15|S;CNN-167219|2011-06-07|CONNECT THE WORLD|cl3|-;NPR-32739|2011-07-18|All Things Considered|cl14|S;NPR-31586|2012-05-24|All Things Considered|cl13|-;CNN-187623|2012-06-11|THE SITUATION ROOM|cl4|-;CNN-196845|2012-12-04|CNN NEWSROOM|cl5|-;CNN-196866|2012-12-04|CONNECT THE WORLD|cl5|-;CNN-198437|2012-12-31|THE SITUATION ROOM|cl6|-;CNN-198448|2013-01-01|CNN NEWSROOM|cl6|-;CNN-198453|2013-01-01|CNN NEWSROOM|cl6|-;NPR-28570|2013-08-06|All Things Considered|cl11|S;CNN-212299|2013-08-11|FAREED ZAKARIA GPS|cl7|-;NPR-26278|2014-09-11|All Things Considered|cl10|S;CNN-252276|2015-03-30|NEWS STREAM|cl8|-
C01722,Michael Dimock,long-tail,7,11,0,512,7,2013-01-16,2014-06-12,1.0,3,4396,1,,,MICHAEL DIMOCK,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-27990|2012-05-10|Morning Edition|cl5|-;NPR-27165|2012-10-19|Morning Edition|cl4|-;NPR-26986|2012-11-26|Morning Edition|cl2|-;NPR-9774|2013-01-16|Talk of the Nation|cl11|S;NPR-29661|2013-03-12|All Things Considered|cl10|S;NPR-29075|2013-06-06|All Things Considered|cl9|S;NPR-28378|2013-09-09|All Things Considered|cl8|S;NPR-28329|2013-10-07|All Things Considered|cl7|S;NPR-28206|2013-12-03|All Things Considered|cl6|S;NPR-27055|2014-06-12|All Things Considered|cl3|S;NPR-24054|2015-09-08|All Things Considered|cl1|-
C00592,David Gorn,long-tail,7,7,0,307,7,2008-02-12,2008-12-15,1.0,3,3214,1,,,DAVID GORN,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-35667|2008-02-12|Morning Edition|cl3|S;NPR-1592|2008-02-21|Day to Day|cl2|S;NPR-40500|2008-03-29|All Things Considered|cl5|S;NPR-455|2008-05-14|Day to Day|cl6|S;NPR-13139|2008-07-03|Day to Day|cl1|S;NPR-38515|2008-10-25|All Things Considered|cl4|S;NPR-9767|2008-12-15|Day to Day|cl7|S
C01247,John Ourand,long-tail,6,6,0,2958,6,2009-03-21,2017-04-26,1.0,3,2531,1,,,JOHN OURAND,1,SPORTS BUSINESS JOURNAL,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-37286|2009-03-21|All Things Considered|cl6|S;NPR-22793|2015-01-07|Morning Edition|cl4|S;NPR-23194|2016-01-01|All Things Considered|cl5|S;NPR-20278|2016-01-15|Morning Edition|cl3|S;NPR-12777|2017-03-19|Weekend Edition Sunday|cl1|S;NPR-18733|2017-04-26|All Things Considered|cl2|S
C01933,Ramez Maluf,long-tail,6,7,0,1911,6,2005-06-09,2010-09-02,1.0,1,3548,1,,,Professor RAMEZ MALUF (Lebanese American University),4,LEBANESE AMERICAN UNIVERSITY / PROFESSOR OF JOURNALISM LEBANESE AMERICAN UNIVERSITY BEIRUT LEBANON / JOURNALISM LEBANESE AMERICAN UNIVERSITY BEIRUT / AMERICAN UNIVERSITY IN LEBANON,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-40983|2005-06-09|Morning Edition|cl7|S;NPR-40789|2005-07-28|Morning Edition|cl6|S;NPR-40188|2005-10-20|Morning Edition|cl5|S;NPR-38751|2006-05-10|Morning Edition|cl4|S;NPR-38293|2006-07-18|Morning Edition|cl3|-;NPR-33791|2008-12-18|Morning Edition|cl2|S;NPR-31007|2010-09-02|Morning Edition|cl1|S
C01538,Loveday Morris,long-tail,6,6,0,1313,6,2013-08-21,2017-03-26,1.0,2,2673,1,,,LOVEDAY MORRIS,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-28443|2013-08-21|All Things Considered|cl6|S;NPR-25072|2015-02-17|All Things Considered|cl5|S;NPR-19540|2016-04-29|Morning Edition|cl2|S;NPR-22138|2016-05-02|All Things Considered|cl4|S;NPR-21603|2016-06-27|All Things Considered|cl3|S;NPR-19053|2017-03-26|All Things Considered|cl1|S
